device,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Punto Rojo 1,2025-08-21T01:39:00.520508,138.59.18.180,SUTEL Local,9.365081787109375,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:40:00.677584,138.59.18.180,SUTEL Local,2.1238327026367188,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:47:00.560004,138.59.18.180,SUTEL Local,4.970312118530273,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:48:00.624863,138.59.18.180,SUTEL Local,5.094051361083984,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:49:00.697345,138.59.18.180,SUTEL Local,4.832983016967773,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:50:00.762398,138.59.18.180,SUTEL Local,5.21397590637207,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:51:00.833059,138.59.18.180,SUTEL Local,5.061626434326172,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:52:00.891431,138.59.18.180,SUTEL Local,4.621982574462891,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:53:00.957312,138.59.18.180,SUTEL Local,5.093574523925781,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:54:01.021063,138.59.18.180,SUTEL Local,4.914999008178711,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:55:01.080909,138.59.18.180,SUTEL Local,5.233049392700195,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:56:01.132896,138.59.18.180,SUTEL Local,5.278587341308594,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:57:01.200222,138.59.18.180,SUTEL Local,5.253314971923828,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:58:01.262027,138.59.18.180,SUTEL Local,5.3558349609375,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T01:59:01.323015,138.59.18.180,SUTEL Local,5.0411224365234375,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:00:01.380249,138.59.18.180,SUTEL Local,4.271268844604492,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:01:01.437223,138.59.18.180,SUTEL Local,5.313873291015625,True,Ping SUTEL Local Costa Rica
