device,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Alajuela 1,2025-08-21T01:09:34.645677,138.59.18.180,SUTEL Local,9.129524230957031,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:10:34.862682,138.59.18.180,SUTEL Local,125.81849098205566,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:12:35.373249,138.59.18.180,SUTEL Local,5.21540641784668,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:13:35.491921,138.59.18.180,SUTEL Local,4.694700241088867,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:14:35.623153,138.59.18.180,SUTEL Local,1.5082359313964844,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:17:29.099592,138.59.18.180,SUTEL Local,4.843711853027344,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:18:29.154262,138.59.18.180,SUTEL Local,4.82630729675293,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:19:29.213914,138.59.18.180,SUTEL Local,4.8065185546875,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:20:29.279601,138.59.18.180,SUTEL Local,5.944013595581055,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:21:29.367452,138.59.18.180,SUTEL Local,5.099058151245117,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:22:29.419310,138.59.18.180,SUTEL Local,4.910707473754883,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:23:29.481152,138.59.18.180,SUTEL Local,3.617525100708008,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:24:29.540855,138.59.18.180,SUTEL Local,5.270957946777344,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:25:29.605374,138.59.18.180,SUTEL Local,4.863977432250977,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:26:29.671449,138.59.18.180,SUTEL Local,4.07719612121582,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:27:29.727345,138.59.18.180,SUTEL Local,4.930973052978516,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:28:29.781578,138.59.18.180,SUTEL Local,5.416631698608398,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:29:29.834899,138.59.18.180,SUTEL Local,4.662752151489258,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:30:29.897987,138.59.18.180,SUTEL Local,4.801034927368164,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:31:29.961608,138.59.18.180,SUTEL Local,4.250526428222656,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:32:30.024492,138.59.18.180,SUTEL Local,4.5928955078125,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:33:30.075964,138.59.18.180,SUTEL Local,4.871845245361328,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:34:30.133189,138.59.18.180,SUTEL Local,5.150794982910156,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,2025-08-21T01:35:30.186696,138.59.18.180,SUTEL Local,4.799365997314453,True,Ping SUTEL Local Costa Rica
